,data,local,tipo_leito,total,ocupados,percentual_ocupados
0,18/05/2020,Estado,UTI,202,139,69%
1,18/05/2020,Maceió,UTI,149,105,70%
2,18/05/2020,Interior,UTI,53,34,64%
3,18/05/2020,Estado,U intermediária,31,16,52%
4,18/05/2020,Maceió,U intermediária,17,13,76%
5,18/05/2020,Interior,U intermediária,14,3,21%
6,18/05/2020,Estado,Leitos Clínicos,467,317,68%
7,18/05/2020,Maceió,Leitos Clínicos,334,211,63%
8,18/05/2020,Interior,Leitos Clínicos,133,106,80%
9,"5/05/2020,",Estado,UTI,142,79,56%
10,"5/05/2020,",Maceió,UTI,102,67,66%
11,"5/05/2020,",Interior,UTI,40,12,30%
12,"5/05/2020,",Estado,U intermediária,31,15,48%
13,"5/05/2020,",Maceió,U intermediária,17,12,71%
14,"5/05/2020,",Interior,U intermediária,14,3,21%
15,"5/05/2020,",Leitos Clínicos,Leitos Clínicos,279,156,56%
16,"5/05/2020,",Maceió,Maceió,184,136,74%
17,01/07/2020,Estado,UTI,252,198,79%
18,01/07/2020,Maceió,UTI,165,139,84%
19,01/07/2020,Interior,UTI,87,59,68%
20,01/07/2020,Estado,U intermediária,51,20,39%
21,01/07/2020,Maceió,U intermediária,37,17,46%
22,01/07/2020,Interior,U intermediária,14,3,21%
23,01/07/2020,Estado,Leitos Clínicos,935,435,47%
24,01/07/2020,Maceió,Leitos Clínicos,580,241,42%
25,01/07/2020,Interior,Leitos Clínicos,355,194,55%
26,"26/12/2020,",Estado,UTI,174,85,49%
27,"26/12/2020,",Maceió,UTI,100,53,53%
28,"26/12/2020,",Interior,UTI,74,32,43%
29,"26/12/2020,",Estado,U intermediária,33,8,24%
30,"26/12/2020,",Maceió,U intermediária,19,5,26%
31,"26/12/2020,",Interior,U intermediária,14,3,21%
32,"26/12/2020,",Estado,Resumo Leitos c/ Respirador,207,93,45%
33,"26/12/2020,",Maceió,Resumo Leitos c/ Respirador,119,58,49%
34,"26/12/2020,",Interior,Resumo Leitos c/ Respirador,88,35,40%
35,"26/12/2020,",Estado,Leitos Clínicos,402,148,37%
36,"26/12/2020,",Maceió,Leitos Clínicos,163,100,61%
37,"26/12/2020,",Interior,Leitos Clínicos,239,48,20%
38,02/07/2020,Estado,UTI,252,211,84%
39,02/07/2020,Maceió,UTI,165,143,87%
40,02/07/2020,Interior,UTI,87,68,78%
41,02/07/2020,Estado,U intermediária,51,25,49%
42,02/07/2020,Maceió,U intermediária,37,18,49%
43,02/07/2020,Interior,U intermediária,14,7,50%
44,02/07/2020,Estado,Leitos Clínicos,935,426,46%
45,02/07/2020,Maceió,Leitos Clínicos,580,228,39%
46,02/07/2020,Interior,Leitos Clínicos,355,198,56%
47,18/06/2020,Estado,UTI,219,175,80%
48,18/06/2020,Maceió,UTI,154,130,84%
49,18/06/2020,Interior,UTI,65,45,69%
50,18/06/2020,Estado,U intermediária,31,3,10%
51,18/06/2020,Maceió,U intermediária,17,1,6%
52,18/06/2020,Interior,U intermediária,14,2,14%
53,18/06/2020,Estado,Leitos Clínicos,855,467,55%
54,18/06/2020,Maceió,Leitos Clínicos,580,291,50%
55,18/06/2020,Interior,Leitos Clínicos,275,176,64%
56,05/06/2020,Estado,UTI,214,178,83%
57,05/06/2020,Maceió,UTI,151,122,81%
58,05/06/2020,Interior,UTI,63,56,89%
59,05/06/2020,Estado,U intermediária,31,9,29%
60,05/06/2020,Maceió,U intermediária,17,8,47%
61,05/06/2020,Interior,U intermediária,14,1,7%
62,05/06/2020,Estado,Leitos Clínicos,821,487,59%
63,05/06/2020,Maceió,Leitos Clínicos,576,316,55%
64,05/06/2020,Interior,Leitos Clínicos,245,171,70%
65,m 19/05/20,Estado,UTI,202,143,71%
66,m 19/05/20,Maceió,UTI,149,104,70%
67,m 19/05/20,Interior,UTI,53,39,74%
68,m 19/05/20,Estado,U intermediária,31,16,52%
69,m 19/05/20,Maceió,U intermediária,17,15,88%
70,m 19/05/20,Interior,U intermediária,14,1,7%
71,m 19/05/20,Leitos Clínicos,Leitos Clínicos,467,311,67%
72,m 19/05/20,Maceió,Maceió,334,198,59%
73,4/11/2020,Estado,UTI,171,58,34%
74,4/11/2020,Maceió,UTI,100,34,34%
75,4/11/2020,Interior,UTI,71,24,34%
76,4/11/2020,Estado,U intermediária,51,2,4%
77,4/11/2020,Maceió,U intermediária,37,1,3%
78,4/11/2020,Interior,U intermediária,14,1,7%
79,4/11/2020,Estado,Resumo Leitos c/ Respirador,222,60,27%
80,4/11/2020,Maceió,Resumo Leitos c/ Respirador,137,35,26%
81,4/11/2020,Interior,Resumo Leitos c/ Respirador,85,25,29%
82,4/11/2020,Estado,Leitos Clínicos,552,80,14%
83,4/11/2020,Maceió,Leitos Clínicos,244,30,12%
84,4/11/2020,Interior,Leitos Clínicos,308,50,16%
85,3/07/2020,UTI,UTI,252,203,81%
86,3/07/2020,Maceió,UTI,165,139,84%
87,3/07/2020,Interior,UTI,87,64,74%
88,3/07/2020,U intermediária,U intermediária,51,17,33%
89,3/07/2020,Maceió,U intermediária,37,17,46%
90,3/07/2020,Interior,U intermediária,14,0,0%
91,3/07/2020,Leitos Clínicos,Leitos Clínicos,935,418,45%
92,3/07/2020,Maceió,Leitos Clínicos,580,223,38%
93,3/07/2020,Interior,Leitos Clínicos,355,195,55%
94,3/07/2020,TOTAL,TOTAL,1238,638,52%
95,3/07/2020,,,,,
96,05/06/2020,Estado,UTI,217,182,84%
97,05/06/2020,Maceió,UTI,154,121,79%
98,05/06/2020,Interior,UTI,63,61,97%
99,05/06/2020,Estado,U intermediária,31,11,35%
100,05/06/2020,Maceió,U intermediária,17,8,47%
101,05/06/2020,Interior,U intermediária,14,3,21%
102,05/06/2020,Estado,Leitos Clínicos,821,501,61%
103,05/06/2020,Maceió,Leitos Clínicos,576,322,56%
