Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
2020-04-08,32,,2.0,
2020-04-14,50,3.0,3.0,1.0
2020-04-15,72,22.0,4.0,1.0
2020-04-16,89,17.0,5.0,1.0
2020-04-17,110,21.0,7.0,2.0
2020-04-18,132,22.0,12.0,5.0
2020-04-19,159,27.0,15.0,3.0
2020-04-20,171,12.0,18.0,3.0
2020-04-21,210,39.0,19.0,1.0
2020-04-22,243,33.0,20.0,1.0
2020-04-23,324,81.0,22.0,2.0
2020-04-24,413,89.0,27.0,5.0
2020-04-26,554,71.0,32.0,3.0
2020-04-27,643,89.0,34.0,2.0
2020-04-28,777,134.0,36.0,2.0
2020-04-29,957,180.0,41.0,5.0
2020-04-30,1044,87.0,47.0,6.0
2020-05-01,1226,182.0,53.0,6.0
2020-05-02,1372,146.0,58.0,5.0
2020-05-03,1441,69.0,64.0,6.0
2020-05-04,1538,97.0,72.0,8.0
2020-05-05,1606,68.0,80.0,8.0
2020-05-06,1703,97.0,89.0,9.0
2020-05-07,1867,164.0,98.0,9.0
2020-05-08,2033,166.0,108.0,10.0
2020-05-09,2172,139.0,114.0,6.0
2020-05-10,2258,86.0,126.0,12.0
2020-05-11,2343,85.0,138.0,12.0
2020-05-12,2580,237.0,150.0,12.0
2020-05-13,2761,181.0,164.0,14.0
2020-05-14,3212,451.0,164.0,0.0
2020-05-15,3593,381.0,187.0,23.0
2020-05-16,3816,223.0,199.0,12.0
2020-05-17,4031,215.0,210.0,11.0
2020-05-18,4316,285.0,221.0,11.0
2020-05-19,4437,121.0,231.0,10.0
2020-05-20,4916,479.0,251.0,20.0
2020-05-21,5302,386.0,262.0,11.0
2020-05-22,5630,328.0,280.0,18.0
2020-05-23,6214,584.0,301.0,21.0
2020-05-24,6682,468.0,316.0,15.0
2020-05-25,7058,376.0,337.0,21.0
2020-05-26,7580,522.0,354.0,17.0
2020-05-27,8055,475.0,368.0,14.0
2020-05-28,8618,563.0,385.0,17.0
2020-05-29,9223,605.0,406.0,21.0
2020-05-30,10288,1065.0,424.0,18.0
2020-05-31,10837,549.0,443.0,19.0
2020-06-01,11559,722.0,461.0,18.0
2020-06-02,12071,512.0,482.0,21.0
2020-06-03,12584,513.0,482.0,0.0
2020-06-04,13097,513.0,482.0,0.0
2020-06-05,13937,840.0,531.0,49.0
2020-06-06,14818,881.0,557.0,26.0
2020-06-07,16005,1187.0,582.0,25.0
2020-06-08,17193,1188.0,582.0,0.0
2020-06-09,18176,983.0,640.0,58.0
2020-06-10,19103,927.0,660.0,20.0
2020-06-11,20031,928.0,660.0,0.0
2020-06-12,20887,856.0,701.0,41.0
2020-06-13,22199,1312.0,723.0,22.0
2020-06-14,22962,763.0,744.0,21.0
2020-06-15,23632,670.0,768.0,24.0
2020-06-16,24867,1235.0,793.0,25.0
2020-06-17,25633,766.0,811.0,18.0
2020-06-18,26906,1273.0,831.0,20.0
2020-06-19,27302,396.0,848.0,17.0
2020-06-20,27698,396.0,848.0,0.0
2020-06-21,29395,1697.0,866.0,18.0
2020-06-22,30248,853.0,903.0,37.0
2020-06-23,31230,982.0,920.0,17.0
2020-06-24,32065,835.0,938.0,18.0
2020-06-25,32864,799.0,958.0,20.0
2020-06-26,33192,328.0,975.0,17.0
2020-06-27,33521,329.0,975.0,0.0
2020-06-28,35117,1596.0,993.0,18.0
2020-06-29,35506,389.0,1032.0,39.0
2020-06-30,35895,389.0,1032.0,0.0
2020-07-07,41443,874.0,1172.0,20.0
2020-07-10,43967,776.0,1230.0,20.0
2020-07-11,44743,776.0,1230.0,0.0
2020-07-12,45519,776.0,1230.0,0.0
2020-07-13,46296,777.0,1230.0,0.0
2020-07-14,47005,709.0,1297.0,67.0
2020-07-15,47864,859.0,1314.0,17.0
2020-07-16,48734,870.0,1331.0,17.0
2020-07-17,49253,519.0,1348.0,17.0
2020-07-18,49604,351.0,1365.0,17.0
2020-07-20,50307,352.0,1365.0,0.0
2020-07-21,50951,644.0,1413.0,48.0
2020-07-22,51680,729.0,1428.0,15.0
2020-07-23,52529,849.0,1443.0,15.0
